,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
145,Kwality Walls Frozen Dessert and Ice Cream Shop,4.8,15,"Desserts, Ice Cream, Ice Cream Cakes",Thakur Village,100,50
146,Anand Sweets & Savouries,4.7,40,"Sweets, Desserts",Jog Gor East,499,0
147,Myfroyoland - Premium Frozen Yogurt,4.4,28,"Desserts, Ice Cream, Healthy Food",Borivali West,1500,10
148,Sweetish House Mafia,4.2,30,Desserts,Kandivali West,150,30
149,Natural Ice Cream,4.7,21,"Ice Cream, Desserts",Avenue Hotel,279,20
150,Chinese Wok,4.2,21,"Chinese, Asian, Tibetan, Desserts",Kandivali East,100,50
151,The Belgian Waffle Co.,4.5,27,"Waffle, Desserts, Ice Cream",Kandivali East,50,20
153,Mamledar Misal,4.3,27,"Maharashtrian, Street Food",Borivali West,749,0
154,Chaayos Chai+Snacks=Relax,4.5,18,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets",kandivali east,120,60
155,The Good Bowl,4.3,24,"Biryani, North Indian, Pastas, Punjabi, Desserts, Beverages",Kandivali East,799,0
156,BOX8 - Desi Meals,4.4,43,"North Indian, Biryani, Thalis, Home Food",Kandivali East,100,50
157,Behrouz Biryani,4.2,22,"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages",Kandivali East,110,60
158,"Faasos - Wraps, Rolls & Shawarma",4.1,26,"Kebabs, Fast Food, Snacks, North Indian, American, Healthy Food, Desserts, Beverages",Kandivali East,110,60
159,LunchBox - Meals and Thalis,4.3,26,"Biryani, North Indian, Punjabi, Healthy Food, Desserts, Beverages",Kandivali East,159,0
160,Subway,4.3,26,"Salads, Snacks, Desserts, Beverages",Kandivali East,80,40
161,Mohanlal S Mithaiwala,4.9,33,"Sweets, Desserts, Snacks",Borivali,0,0
162,Parsi Dairy Farm,4.6,31,Indian,Borivali,0,0
163,Adarsh,4.5,31,"Snacks, Sweets, Bakery",Borivali,1900,10
164,Mama Mia! - Italian Ice Creams & Cakes,4.4,27,"Bakery, Desserts, Ice Cream",Borivali,599,0
165,Trishiv Chinese Corner,4.1,34,"Chinese, Fast Food, Street Food, North Indian",Borivali,1000,10
166,Baskin Robbins - Ice Cream Desserts,4.6,13,Desserts,Kandivali East,75,30
167,Wagh Bakri Tea Lounge,3.5,39,"Beverages, Snacks, Fast Food, Street Food, Desserts",Borivali,700,20
168,Chitale Xpress,4.7,28,"Sweets, Desserts",Borivali,0,0
169,Cheesecakes By CakeZone,4.4,33,"Bakery, Desserts, Sweets, Beverages, Ice Cream, Juices, Bengali",L T Road Junction,699,0
170,Birdy's Cake Shop,4.1,35,"Desserts, Bakery",Malad East,0,0
171,Jeden-The Cake Expert,4.3,31,"Desserts, Bakery, Sweets",Kandivali West,599,0
173,Oven Story Pizza - Standout Toppings,4.4,43,"Pizzas, Pastas, Italian, Desserts, Beverages",Kandivali East,899,0
174,Ovenfresh Cakes And Desserts,4.1,34,"Bakery, Desserts, Beverages, Ice Cream, Sweets, Juices, Bengali, Pizzas",Borivali,399,0
175,Vadilal Ice Creams,4.1,35,"Ice Cream, Desserts",Kandivali West,399,0
176,Amore Gelato - Italian Ice Cream,4.4,34,"Ice Cream, Desserts",Borivali,0,0
177,Burger King,4.3,39,"Burgers, American",Kandivali East,120,60
178,ITC Fabelle Chocolates,4.7,33,"Bakery, Desserts",L T Road Junction,179,25
179,Mad Over Donuts,4.6,27,"Desserts, Sweets, Bakery",Kandivali East,100,50
180,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.3,15,"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",Kandivali East,449,0
181,"Gianis - Ice Cream, Shakes & Sundaes",4.6,15,"Ice Cream, Bakery, Beverages",Malad Kan East,0,0
182,Tibb's Frankie,4.1,23,"Snacks, Biryani, North Indian, Mexican, Beverages",Kandivali East,75,30
183,The Biryani Life,4.3,25,"Biryani, Mughlai, Lucknowi, Hyderabadi, North Indian, Kebabs, Desserts, Beverages",Kandivali East,110,60
184,Sweet Truth - Cake and Desserts,4.1,20,"Snacks, Bakery, Desserts, Beverages",Kandivali East,110,60
185,Cafe Coffee Day,4.3,28,"Beverages, Cafe, Snacks, Desserts, Burgers, Ice Cream, Bakery, Fast Food",Kandivali East,159,0
